#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
# {z1 -> 2.691469, z2 -> 4.915440, u -> 4.5, w -> 0.15}
Nu0,M1,M2,stable
4.03,0,67.4455,True

4.03,98.5535,0,False

4.04,0,0,False

4.04,0,67.5929,True

4.04,98.7602,0,False

4.05,0,0,False

4.05,0,67.7401,True

4.05,98.9666,0,False

4.06,0,0,False

4.06,0,67.8872,True

4.06,99.1726,0,False

4.07,0,0,False

4.07,0,68.0341,True

4.07,99.3784,0,False

4.08,0,0,False

4.08,0,68.1808,True

4.08,99.5839,0,False

4.09,0,0,False

4.09,0,68.3274,True

4.09,99.7891,0,False

4.1,0,0,False

4.1,0,68.4738,True

4.1,99.9939,0,False

4.11,0,0,False

4.11,0,68.62,True

4.11,100.199,0,False

4.12,0,0,False

4.12,0,68.7661,True

4.12,100.403,0,False

4.13,0,0,False

4.13,0,68.912,True

4.13,100.607,0,False

4.14,0,0,False

4.14,0,69.0577,True

4.14,100.811,0,False

4.15,0,0,False

4.15,0,69.2033,False

4.15,0.440768,68.863,True

4.15,101.014,0,False

4.16,0,0,False

4.16,0,69.3487,False

4.16,0.925018,68.6346,True

4.16,101.217,0,False

4.17,0,0,False

4.17,0,69.4939,False

4.17,1.4114,68.4045,True

4.17,101.42,0,False

4.18,0,0,False

4.18,0,69.639,False

4.18,1.89996,68.1728,True

4.18,101.622,0,False

4.19,0,0,False

4.19,0,69.7839,False

4.19,2.39073,67.9393,True

4.19,101.825,0,False

4.2,0,0,False

4.2,0,69.9286,False

4.2,2.88376,67.7041,True

4.2,102.027,0,False

4.21,0,0,False

4.21,0,70.0732,False

4.21,3.3791,67.467,True

4.21,102.228,0,False

4.22,0,0,False

4.22,0,70.2176,False

4.22,3.87678,67.2282,True

4.22,102.43,0,False

4.23,0,0,False

4.23,0,70.3619,False

4.23,4.37687,66.9874,True

4.23,102.631,0,False

4.24,0,0,False

4.24,0,70.506,False

4.24,4.8794,66.7448,True

4.24,102.832,0,False

4.25,0,0,False

4.25,0,70.6499,False

4.25,5.38443,66.5003,True

4.25,103.032,0,False

4.26,0,0,False

4.26,0,70.7937,False

4.26,5.89201,66.2538,True

4.26,103.232,0,False

4.27,0,0,False

4.27,0,70.9373,False

4.27,6.4022,66.0054,True

4.27,103.432,0,False

4.28,0,0,False

4.28,0,71.0808,False

4.28,6.91504,65.7549,True

4.28,103.632,0,False

4.29,0,0,False

4.29,0,71.2241,False

4.29,7.43061,65.5023,True

4.29,103.831,0,False

4.3,0,0,False

4.3,0,71.3672,False

4.3,7.94894,65.2477,True

4.3,104.031,0,False

4.31,0,0,False

4.31,0,71.5102,False

4.31,8.47012,64.9909,True

4.31,104.229,0,False

4.32,0,0,False

4.32,0,71.653,False

4.32,8.9942,64.7319,True

4.32,104.428,0,False

4.33,0,0,False

4.33,0,71.7957,False

4.33,9.52125,64.4707,True

4.33,104.626,0,False

4.34,0,0,False

4.34,0,71.9382,False

4.34,10.0513,64.2072,True

4.34,104.824,0,False

4.35,0,0,False

4.35,0,72.0805,False

4.35,10.5845,63.9413,True

4.35,105.022,0,False

4.36,0,0,False

4.36,0,72.2227,False

4.36,11.1209,63.6732,True

4.36,105.22,0,False

4.37,0,0,False

4.37,0,72.3647,False

4.37,11.6605,63.4025,True

4.37,105.417,0,False

4.38,0,0,False

4.38,0,72.5066,False

4.38,12.2035,63.1294,True

4.38,105.614,0,False

4.39,0,0,False

4.39,0,72.6483,False

4.39,12.7499,62.8538,True

4.39,105.81,0,False

4.4,0,0,False

4.4,0,72.7899,False

4.4,13.2998,62.5756,True

4.4,106.007,0,False

4.41,0,0,False

4.41,0,72.9313,False

4.41,13.8533,62.2948,True

4.41,106.203,0,False

4.42,0,0,False

4.42,0,73.0726,False

4.42,14.4105,62.0112,True

4.42,106.399,0,False

4.43,0,0,False

4.43,0,73.2137,False

4.43,14.9714,61.7249,True

4.43,106.594,0,False

4.44,0,0,False

4.44,0,73.3547,False

4.44,15.5362,61.4357,True

4.44,106.79,0,False

4.45,0,0,False

4.45,0,73.4955,False

4.45,16.1051,61.1436,True

4.45,106.985,0,False

4.46,0,0,False

4.46,0,73.6361,False

4.46,16.678,60.8486,True

4.46,107.18,0,False

4.47,0,0,False

4.47,0,73.7766,False

4.47,17.2551,60.5505,True

4.47,107.374,0,False

4.48,0,0,False

4.48,0,73.917,False

4.48,17.8366,60.2492,True

4.48,107.568,0,False

4.49,0,0,False

4.49,0,74.0572,False

4.49,18.4225,59.9448,True

4.49,107.762,0,False

4.5,0,0,False

4.5,0,74.1972,False

4.5,19.013,59.637,True

4.5,107.956,0,False

4.51,0,0,False

4.51,0,74.3371,False

4.51,19.6082,59.3258,True

4.51,108.15,0,False

4.52,0,0,False

4.52,0,74.4769,False

4.52,20.2083,59.0112,True

4.52,108.343,0,False

4.53,0,0,False

4.53,0,74.6165,False

4.53,20.8134,58.6929,True

4.53,108.536,0,False

4.54,0,0,False

4.54,0,74.7559,False

4.54,21.4237,58.371,True

4.54,108.729,0,False

4.55,0,0,False

4.55,0,74.8952,False

4.55,22.0393,58.0452,True

4.55,108.921,0,False

4.56,0,0,False

4.56,0,75.0344,False

4.56,22.6604,57.7156,True

4.56,109.113,0,False

4.57,0,0,False

4.57,0,75.1734,False

4.57,23.2873,57.3818,True

4.57,109.305,0,False

4.58,0,0,False

4.58,0,75.3123,False

4.58,23.92,57.0439,True

4.58,109.497,0,False

4.59,0,0,False

4.59,0,75.451,False

4.59,24.5588,56.7017,True

4.59,109.688,0,False

4.6,0,0,False

4.6,0,75.5895,False

4.6,25.204,56.3551,True

4.6,109.88,0,False

4.61,0,0,False

4.61,0,75.7279,False

4.61,25.8556,56.0038,True

4.61,110.071,0,False

4.62,0,0,False

4.62,0,75.8662,False

4.62,26.5141,55.6477,True

4.62,110.261,0,False

4.63,0,0,False

4.63,0,76.0044,False

4.63,27.1797,55.2867,True

4.63,110.452,0,False

4.64,0,0,False

4.64,0,76.1423,False

4.64,27.8525,54.9206,True

4.64,110.642,0,False

4.65,0,0,False

4.65,0,76.2802,False

4.65,28.533,54.5491,True

4.65,110.832,0,False

4.66,0,0,False

4.66,0,76.4179,False

4.66,29.2214,54.1722,True

4.66,111.022,0,False

4.67,0,0,False

4.67,0,76.5554,False

4.67,29.9181,53.7894,True

4.67,111.211,0,False

4.68,0,0,False

4.68,0,76.6928,False

4.68,30.6235,53.4007,True

4.68,111.4,0,False

4.69,0,0,False

4.69,0,76.8301,False

4.69,31.3378,53.0057,True

4.69,111.589,0,False

4.7,0,0,False

4.7,0,76.9672,False

4.7,32.0616,52.6041,True

4.7,111.778,0,False

4.71,0,0,False

4.71,0,77.1042,False

4.71,32.7952,52.1958,True

4.71,111.966,0,False

4.72,0,0,False

4.72,0,77.241,False

4.72,33.5392,51.7803,True

4.72,112.155,0,False

4.73,0,0,False

4.73,0,77.3777,False

4.73,34.2941,51.3573,True

4.73,112.343,0,False

4.74,0,0,False

4.74,0,77.5143,False

4.74,35.0604,50.9265,True

4.74,112.53,0,False

4.75,0,0,False

4.75,0,77.6507,False

4.75,35.8388,50.4873,True

4.75,112.718,0,False

4.76,0,0,False

4.76,0,77.7869,False

4.76,36.63,50.0395,True

4.76,112.905,0,False

4.77,0,0,False

4.77,0,77.9231,False

4.77,37.4346,49.5824,True

4.77,113.092,0,False

4.78,0,0,False

4.78,0,78.0591,False

4.78,38.2535,49.1155,True

4.78,112.906,0.215425,False

4.78,113.279,0,True

4.79,0,0,False

4.79,0,78.1949,False

4.79,39.0876,48.6384,True

4.79,112.195,0.735762,False

4.79,113.466,0,True

4.8,0,0,False

4.8,0,78.3306,False

4.8,39.9378,48.1502,True

4.8,111.467,1.26702,False

4.8,113.652,0,True

4.81,0,0,False

4.81,0,78.4662,False

4.81,40.8053,47.6503,True

4.81,110.722,1.80992,False

4.81,113.838,0,True

4.82,0,0,False

4.82,0,78.6016,False

4.82,41.6913,47.1378,True

4.82,109.958,2.36529,False

4.82,114.024,0,True

4.83,0,0,False
