# {W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 3.537603, z2 -> 5.762877, u -> 4.5, w -> 0.1}
Nu0,M1,M2,stable
4.03,0,67.7331,True

4.03,100.962,0,False

4.04,0,0,False

4.04,0,67.8704,True

4.04,101.155,0,False

4.05,0,0,False

4.05,0,68.0076,True

4.05,101.348,0,False

4.06,0,0,False

4.06,0,68.1445,True

4.06,101.541,0,False

4.07,0,0,False

4.07,0,68.2814,True

4.07,101.733,0,False

4.08,0,0,False

4.08,0,68.418,True

4.08,101.925,0,False

4.09,0,0,False

4.09,0,68.5545,True

4.09,102.117,0,False

4.1,0,0,False

4.1,0,68.6909,True

4.1,102.309,0,False

4.11,0,0,False

4.11,0,68.8271,True

4.11,102.5,0,False

4.12,0,0,False

4.12,0,68.9631,True

4.12,102.691,0,False

4.13,0,0,False

4.13,0,69.099,True

4.13,102.882,0,False

4.14,0,0,False

4.14,0,69.2348,True

4.14,103.072,0,False

4.15,0,0,False

4.15,0,69.3704,True

4.15,103.262,0,False

4.16,0,0,False

4.16,0,69.5058,True

4.16,103.452,0,False

4.17,0,0,False

4.17,0,69.6411,True

4.17,103.642,0,False

4.18,0,0,False

4.18,0,69.7762,True

4.18,103.832,0,False

4.19,0,0,False

4.19,0,69.9112,True

4.19,104.021,0,False

4.2,0,0,False

4.2,0,70.046,True

4.2,104.21,0,False

4.21,0,0,False

4.21,0,70.1807,True

4.21,104.398,0,False

4.22,0,0,False

4.22,0,70.3152,True

4.22,104.587,0,False

4.23,0,0,False

4.23,0,70.4496,True

4.23,104.775,0,False

4.24,0,0,False

4.24,0,70.5838,True

4.24,104.963,0,False

4.25,0,0,False

4.25,0,70.7179,True

4.25,105.15,0,False

4.26,0,0,False

4.26,0,70.8519,True

4.26,105.338,0,False

4.27,0,0,False

4.27,0,70.9856,True

4.27,105.525,0,False

4.28,0,0,False

4.28,0,71.1193,True

4.28,105.712,0,False

4.29,0,0,False

4.29,0,71.2528,True

4.29,105.898,0,False

4.3,0,0,False

4.3,0,71.3861,True

4.3,106.085,0,False

4.31,0,0,False

4.31,0,71.5193,True

4.31,106.271,0,False

4.32,0,0,False

4.32,0,71.6524,True

4.32,106.457,0,False

4.33,0,0,False

4.33,0,71.7853,True

4.33,106.642,0,False

4.34,0,0,False

4.34,0,71.918,True

4.34,106.828,0,False

4.35,0,0,False

4.35,0,72.0507,True

4.35,107.013,0,False

4.36,0,0,False

4.36,0,72.1831,True

4.36,107.198,0,False

4.37,0,0,False

4.37,0,72.3155,True

4.37,107.382,0,False

4.38,0,0,False

4.38,0,72.4476,True

4.38,107.567,0,False

4.39,0,0,False

4.39,0,72.5797,False

4.39,0.0692602,72.5254,True

4.39,107.751,0,False

4.4,0,0,False

4.4,0,72.7116,False

4.4,0.591375,72.248,True

4.4,107.935,0,False

4.41,0,0,False

4.41,0,72.8434,False

4.41,1.11656,71.9685,True

4.41,108.118,0,False

4.42,0,0,False

4.42,0,72.975,False

4.42,1.64489,71.6866,True

4.42,108.302,0,False

4.43,0,0,False

4.43,0,73.1064,False

4.43,2.17643,71.4023,True

4.43,108.485,0,False

4.44,0,0,False

4.44,0,73.2378,False

4.44,2.71127,71.1157,True

4.44,108.668,0,False

4.45,0,0,False

4.45,0,73.369,False

4.45,3.24948,70.8266,True

4.45,108.85,0,False

4.46,0,0,False

4.46,0,73.5,False

4.46,3.79115,70.5351,True

4.46,109.033,0,False

4.47,0,0,False

4.47,0,73.6309,False

4.47,4.33636,70.2409,True

4.47,109.215,0,False

4.48,0,0,False

4.48,0,73.7617,False

4.48,4.88521,69.9441,True

4.48,109.397,0,False

4.49,0,0,False

4.49,0,73.8924,False

4.49,5.43779,69.6447,True

4.49,109.579,0,False

4.5,0,0,False

4.5,0,74.0228,False

4.5,5.99419,69.3424,True

4.5,109.76,0,False

4.51,0,0,False

4.51,0,74.1532,False

4.51,6.55452,69.0374,True

4.51,109.941,0,False

4.52,0,0,False

4.52,0,74.2834,False

4.52,7.11889,68.7295,True
